Brand,Item #,Description,Bricklink ID ,Department,Sub Department ,BAM Category ,Theme,Long Description,Primary Vendor,Launch,Retirement Date,Sell On Shopify,Shopify Tags,Active?,MSRP,Default Cost,Current price ,Taxable,UPC,Height,Width,Depth,Weight,Weight in oz,Image 1,Image 2,Image 3,
LEGO®,2304,2304 Large Green Building Plate,2304-1,New Sets,Retired New In Box,Boxed Set,DUPLO My First,"1 Pcs., For ages 1.5-5",ToyHouse,02/01/1992,Retired,Yes,"1992, February, NIB, DUPLOMyFirst",TRUE,$14.99,$10.58,$14.99,Yes,673419274166,15.16,15.55,0.24,0.58,9.28,,,,
LEGO®,30554,30554 Cinderella Mini Castle,30554-1,New Sets,Retired New In Box,Polybag/Paper Bag ,Polybags,"43 Pcs., For ages 5+",ToyHouse,01/01/2002,Retired,Yes,"2002, January, NIB, Polybags",TRUE,$4.99,$4.10,$4.99,Yes,673419322119,6.69,6.69,0.41,0.08,1.28,,,,
LEGO®,8870,8870 Power Functions Light,8870-1,New Sets,Retired New In Box,Boxed Set ,LEGO Power Functions,"1 Pcs., For ages 7+",ToyHouse,03/22/2011,Retired,Yes,"2011, March, NIB, LEGOFunctions",TRUE,$6.49,$4.73,$6.49,Yes,673419243865,4.69,5.43,0.39,0.03,0.48,,,,
LEGO®,8879,8879 Power Functions IR Speed Remote Control,8879-1,New Sets,Retired New In Box,Boxed Set ,LEGO Power Functions,"1 Pcs., For ages 7+",ToyHouse,03/22/2011,Retired,Yes,"2011, March, NIB, LEGOFunctions",TRUE,$12.99,$9.48,$12.99,Yes,673419137072,3.78,3.15,1.18,0.19,3.04,,,,
LEGO®,8881,8881 Power Functions Battery Box,8881-1,New Sets,Retired New In Box,Boxed Set ,LEGO Power Functions,"1 Pcs., For ages 7+",ToyHouse,03/22/2011,Retired,Yes,"2011, March, NIB, LEGOFunctions",TRUE,$6.99,$5.10,$6.99,Yes,673419243872,5.91,5.91,1.77,0.14,2.24,,,,
LEGO®,8882,8882 Power Functions XL-Motor,8882-1,New Sets,Retired New In Box,Boxed Set ,LEGO Power Functions,"1 Pcs., For ages 7+",ToyHouse,03/22/2011,Retired,Yes,"2011, March, NIB, LEGOFunctions",TRUE,$9.99,$7.29,$9.99,Yes,673419243889,5.51,4.33,1.77,0.16,2.56,,,,
LEGO®,8883,8883 Power Functions M-Motor,8883-1,New Sets,Retired New In Box,Boxed Set ,LEGO Power Functions,"1 Pcs., For ages 7+",ToyHouse,03/22/2011,Retired,Yes,"2011, March, NIB, LEGOFunctions",TRUE,$7.49,$5.46,$7.49,Yes,673419243896,5.51,4.33,1.77,0.08,1.28,,,,
LEGO®,8884,8884 Power Functions IR RX,8884-1,New Sets,Retired New In Box,Boxed Set ,LEGO Power Functions,"1 Pcs., For ages 7+",ToyHouse,03/22/2011,Retired,Yes,"2011, March, NIB, LEGOFunctions",TRUE,$14.99,$10.94,$14.99,Yes,673419243902,5.51,4.33,0.45,0.05,0.8,,,,
LEGO®,8885,8885 Power Functions IR TX,8885-1,New Sets,Retired New In Box,Boxed Set ,LEGO Power Functions,"1 Pcs., For ages 7+",ToyHouse,03/22/2011,Retired,Yes,"2011, March, NIB, LEGOFunctions",TRUE,$9.49,$6.92,$9.49,Yes,673419243919,5.91,5.91,1.77,0.11,1.76,,,,
LEGO®,88000,88000 Power Functions AAA Battery Box,88000-1,New Sets,Retired New In Box,Boxed Set ,LEGO Power Functions,"1 Pcs., For ages 7+",ToyHouse,03/22/2011,Retired,Yes,"2011, March, NIB, LEGOFunctions",TRUE,$12.99,$9.48,$12.99,Yes,673419148283,5.91,5.91,1.34,0.11,1.76,,,,
LEGO®,88002,88002 Power Functions Train Motor,88002-1,New Sets,Retired New In Box,Boxed Set ,LEGO Power Functions,"7 Pcs., For ages 7+",ToyHouse,03/22/2011,Retired,Yes,"2011, March, NIB, LEGOFunctions",TRUE,$13.99,$10.21,$13.99,Yes,673419148290,4.33,1.97,1.34,0.15,2.4,,,,
LEGO®,31313,31313 MINDSTORMS EV3,31313-1,New Sets,Retired New In Box,Boxed Set,MINDSTORMS,"601 Pcs., For ages 10+",ToyHouse,09/01/2013,Retired,Yes,"2013, September, NIB, MINDSTORMS",TRUE,$349.99,$262.49,$349.99,Yes,673419193054,18.9,14.88,2.78,3.96,63.36,,,,
LEGO®,10572,10572 All-in-One-Box-of-Fun,10572-1,New Sets,Retired New In Box,Boxed Set,DUPLO My First,"65 Pcs., For ages 1.5-5",ToyHouse,03/01/2014,Retired,Yes,"2014, March, NIB, DUPLOMyFirst",TRUE,$29.99,$22.49,$29.99,Yes,673419207522,14.55,7.05,7.09,2.34,37.44,,,,
LEGO®,10692,10692 Creative Bricks,10692-1,New Sets,Retired New In Box,Boxed Set,LEGO Classic,"221 Pcs., For ages 4-99",ToyHouse,01/01/2015,12/31/2022,Yes,"2015, January, NIB, LEGOClassic",TRUE,$16.99,$12.00,$16.99,Yes,673419232890,7.09,6.46,7.09,0.99,15.84,,,,
LEGO®,10696,10696 Medium Creative Brick Box,10696-1,New Sets,Retired New In Box,Boxed Set,LEGO Classic,"484 Pcs., For ages 4-99",ToyHouse,01/01/2015,7/31/2024,Yes,"2015, January, NIB, LEGOClassic",TRUE,$34.99,$24.71,$34.99,Yes,673419233590,14.55,7.05,7.09,2.29,36.64,,,,
LEGO®,10698,10698 Large Creative Brick Box,10698-1,New Sets,Retired New In Box,Boxed Set,LEGO Classic,"790 Pcs., For ages 4-99",ToyHouse,01/01/2015,7/31/2024,Yes,"2015, January, NIB, LEGOClassic",TRUE,$59.99,$42.37,$59.99,Yes,673419233606,14.57,10.32,7.09,3.53,56.48,,,,
LEGO®,10700,10700 Green Baseplate,10700-1,New Sets,Retired New In Box,Boxed Set,LEGO Classic,"1 Pcs., For ages 4-99",ToyHouse,01/01/2015,Retired,Yes,"2015, January, NIB, LEGOClassic",TRUE,$7.99,$5.64,$7.99,Yes,673419232845,10.24,12.13,0.12,0.23,3.68,,,,
LEGO®,10701,10701 Gray Baseplate,10701-1,New Sets,Retired New In Box,Boxed Set,LEGO Classic,"1 Pcs., For ages 4-99",ToyHouse,01/01/2015,Retired,Yes,"2015, January, NIB, LEGOClassic",TRUE,$14.99,$10.58,$14.99,Yes,673419233750,15.24,17.24,0.12,0.49,7.84,,,,
LEGO®,10597,10597 Mickey & Minnie Birthday Parade,10597-1,New Sets,Retired New In Box,Boxed Set,DUPLO Disney,"24 Pcs., For ages 2-5",ToyHouse,08/01/2015,Retired,Yes,"2015, August, NIB, DUPLODisney",TRUE,$24.99,$20.59,$24.99,Yes,673419232630,13.94,7.52,3.58,1.02,16.32,,,,
